,AAPL,AGN,AMD,AMZN,BA,BAC,CHK,COP,F,FB,FCX,FNMA,GE,NKE,NVDA,QCOM,SBUX,TSLA,VRX,XOM,time,Time
week1,0.0163797838997667,0.0244305053964769,0.0250510822077672,0.0106057665369618,-0.00517146641073,0.00665982735367222,-0.0216926727504155,0.00333944724074685,-0.007362676625435291,0.0121648329526579,0.0213539004272143,0.00528072285332294,-0.0017639224257553802,0.00277224309223944,0.010574229245809998,-0.0369760993318825,-0.00556319974184692,0.0381374623562332,0.009200237516888999,-0.00489459661644025,week1,week1
week2,0.0331272831109314,0.04641330084793,0.0346765575558283,0.0211750239786744,0.0121161808628215,0.00699784023619333,-0.0389174283645464,-0.00226791929085962,-0.00022975664813294102,0.0301549378772407,0.0224698444993714,0.0198678363911724,-0.0109904331817323,0.0113950690225822,0.0317259615355922,-0.0464599262631562,-0.00446855645743615,0.0841374341499237,-0.0125609873277257,-0.0157657372893425,week2,week2
week3,0.0580404645321744,0.0585693572691613,0.0579051888646966,0.0326728012818218,0.0277705914707973,0.0217019194903418,-0.0562830028397336,-0.00959944066689569,-0.00303392660512318,0.0451236423200464,0.0161795993935236,-0.0216660303040041,-0.0171164036888708,0.0176665880505779,0.0491900141973278,-0.0355747313098727,-0.0123085470168969,0.12790412951642,-0.0209525214177467,-0.0312369584222083,week3,week3
week4,0.08424972944778598,0.0900469976455688,0.10839363500627901,0.0473398658936045,0.05873251901908,0.0370638742355078,-0.0817299622152136,-0.0212052421894769,-0.00153753746199429,0.0651641855632643,0.009845761704835,-0.0720033653874547,-0.0299379414354885,0.0299371468266317,0.0577306324982278,-0.0271977755290812,-0.0036605927177984603,0.14662713071023903,-0.027103805037617994,-0.0320920335104917,week4,week4
week5,0.108473650421791,0.126834146584925,0.130793110677528,0.0589154257026591,0.0615900033342,0.045292588309035,-0.11374272755195901,-0.0334048342495993,-0.000397264079961588,0.0773066359988643,-0.0151632163329714,-0.115876883473782,-0.0435718280021669,0.0414977449056,0.0482274200416167,-0.024152764738125,-0.0113010554213331,0.18098984834481002,-0.0069385360773458705,-0.0413579913136667,week5,week5
week6,0.131267985800786,0.157609491877,0.189758219509161,0.0727382621753409,0.0730571881784667,0.0738628155969554,-0.14901839505277698,-0.0396153103299646,0.00661528688137074,0.0894830855425286,-0.0302343216807071,-0.10851753723597599,-0.0434101113563046,0.05102437794863,0.0155686460239183,-0.027282108721625,-0.0123082011784277,0.205821210738473,0.0117074579088143,-0.0461589516787917,week6,week6
week7,0.15593407623477898,0.17847236246275,0.23324309697228196,0.0729533582244091,0.0776100561115733,0.068629320764485,-0.171008693729768,-0.0548366323419923,0.0077973402593864705,0.0953589553778143,-0.0758611824592286,-0.138694603076376,-0.0410137504761472,0.0678526191862428,0.00409789154748389,-0.0229163736160063,-0.0198824829050854,0.205673779651648,0.01449903636521,-0.04511632616217501,week7,week7
week8,0.173705289473884,0.17267685512244998,0.254463311363621,0.0754270888526591,0.0891734999246267,0.0686939400713,-0.21087818055086396,-0.0659925491316231,0.00315085571249412,0.109752389992036,-0.0964180891407386,-0.17212257360760502,-0.0356589846710692,0.0817668784782111,-0.00552936083496667,-0.0306675219414188,-0.0112773270564985,0.20593863156188297,-0.0440634446273533,-0.0481263524112167,week8,week8
week9,0.189206937760674,0.16803368778871897,0.268277471900621,0.0920413016947273,0.11234042181932699,0.0721023888116978,-0.21548047204463602,-0.0667745902344154,-0.00657066454547765,0.11513475635344998,-0.113085632267223,-0.22142785944421203,-0.0368641067018838,0.09458650552711001,-0.0068379554451094395,-0.0252145182952437,-0.00808369252589846,0.21789852228256895,-0.10230021887071,-0.0486777929948517,week9,week9
week10,0.19742390610544197,0.15300113000645,0.27167096703279303,0.0961845548661727,0.12283395895142,0.0739764080999278,-0.218850078744355,-0.0496916821440931,-0.0260041707413753,0.122370073934779,-0.12309146977485699,-0.30429022043935305,-0.0360004960167538,0.0862535853714667,-0.00020149843013555702,-0.0282913444494875,-0.00460513649153615,0.24634412421430302,-0.164203278068828,-0.04443508199015,week10,week10
week11,0.205278979147163,0.15599576736142498,0.253437344359655,0.10296109966221399,0.129052074304893,0.0522531251181467,-0.22194334087183198,-0.0388043775007069,-0.0412530991139929,0.133158722424029,-0.143634474640871,-0.33704030902800003,-0.0399563027772554,0.0885606152398167,0.00574727700838278,-0.0606728049004994,0.006407563054760001,0.25688196731084695,-0.23622685493979997,-0.0514956857343583,week11,week11
week12,0.20701668918751198,0.146591632619137,0.25112280861472397,0.12069538773888198,0.13030571128871998,0.0592497855867538,-0.23460111018123198,-0.0486684089854338,-0.0690064039693353,0.13906801405289299,-0.145731917380621,-0.336512933678706,-0.0425138614931769,0.0861679150268278,-0.00701012454423278,-0.0747738268883812,0.0137733346061431,0.27714485304628805,-0.26113019939109305,-0.049364380594675,week12,week12
week13,0.216035061936512,0.152932200002981,0.22590263076314498,0.12960978453085498,0.131740505371793,0.0513231032945978,-0.21441390154463197,-0.0513522974445208,-0.0694494678686765,0.1528104819395,-0.14853389531976902,-0.32434584796694105,-0.0422616975973223,0.0862611167259611,-0.0217500144572467,-0.0735476731098131,0.0253031533878146,0.31959237526328804,-0.312082502375933,-0.0507115851563417,week13,week13
week14,0.232112308788558,0.150629609141394,0.194798102228469,0.13725355807307302,0.13739832872593302,0.0322843653411239,-0.208628833461864,-0.0377483557924746,-0.0862979575616588,0.16557722791728602,-0.157557257243293,-0.33556304341682397,-0.0461029226232908,0.0710161951837056,-0.0240138813734044,-0.0621248352013244,0.0423176575663538,0.358964425724898,-0.334883690611,-0.0481109046163933,week14,week14
week15,0.242046335897721,0.154106271587569,0.169062878276452,0.160698775843818,0.130915410726853,0.0416759715838556,-0.19728955725195496,-0.0470995700344692,-0.0805743202732529,0.17519058915442903,-0.17790173760908604,-0.350980179250706,-0.0511583130126538,0.0648568380345333,0.0236337193762222,-0.0563068803346262,0.0449313222141569,0.382171274771322,-0.36078328079366706,-0.0461669762047817,week15,week15
week16,0.25715735688674396,0.14993298073622502,0.113616206291159,0.186494225882864,0.145447406733713,0.0362355475553872,-0.212624469404818,-0.0460204017919515,-0.0933038658371059,0.188898035936214,-0.17148366049318303,-0.3429045042819411,-0.0598540724323385,0.0601129981529722,0.0442654025577811,-0.032453661127450004,0.0600414005541585,0.420319173525,-0.34426094464203305,-0.0437052394645467,week16,week16
week17,0.270540427319767,0.138131550627731,0.0742788258263345,0.196410882701727,0.154902486666333,0.0247014404092456,-0.222293371931591,-0.0610096565023923,-0.0901574519007294,0.19430778878257104,-0.196950348006379,-0.359314444640294,-0.0669795385131462,0.0509589289257278,0.121562451320876,-0.0207367696895562,0.0707611175691385,0.4602982131470171,-0.31015467329786,-0.0486612499938667,week17,week17
week18,0.28555974600848805,0.122518220740236,0.0831147992826948,0.21229925647918202,0.16914131485820003,0.0378854689122644,-0.243358766454409,-0.0777406655160538,-0.0993858978857412,0.2136116669435,-0.20180803573121397,-0.341515858073294,-0.0796654468986462,0.0429988511128868,0.21301265109624398,-0.0129378938296812,0.0811007532412308,0.490192792796068,-0.228606783037933,-0.046477860752635,week18,week18
week19,0.294326353707628,0.10343352150820499,0.0348888979195745,0.228853716087682,0.18368638035893303,0.0295140922226683,-0.249630512026182,-0.08571717475019999,-0.0997172317277647,0.215608927108143,-0.208517069319929,-0.344657898243882,-0.0862883313188231,0.0361705338743263,0.28800735335912797,-0.01713454338865,0.0813374580782154,0.49894638788647494,-0.18562946548112802,-0.0422137530480083,week19,week19
week20,0.297147760107581,0.093190460344625,0.05705433744084099,0.247849594441818,0.20201667034306697,0.0427197275081678,-0.256933580736682,-0.0804295734126846,-0.1011600904741,0.220946109924357,-0.21477028857035702,-0.36232376165664704,-0.0927944034348385,0.0226139665499383,0.34688600926299995,-0.0197073002628688,0.0812865161172615,0.5444477881751529,-0.161672134096837,-0.0431555907675325,week20,week20
week21,0.282068534600791,0.106983994759575,0.0813397270052717,0.254214242603955,0.20205300670033302,0.0344072735720772,-0.283231585972545,-0.0858962252958231,-0.0968417106342765,0.209179605796714,-0.222443074693857,-0.36195533600958796,-0.106223286962792,0.0167648155318472,0.3999420399445,-0.027084518196099996,0.0715950473690308,0.579446491041746,-0.14431519873322698,-0.042617159915849995,week21,week21
week22,0.276830133882651,0.12442736566075001,0.115192169550725,0.25090986461036396,0.217885680638867,0.0417309052459667,-0.286946640908545,-0.10751395178528501,-0.0905063799071824,0.2228562105695,-0.210004773069571,-0.387936672213294,-0.102623020143623,0.0187153084106878,0.43613346354111104,-0.0362836557821187,0.0685509637066692,0.6107839876436271,-0.125800831889073,-0.0489353262354167,week22,week22
week23,0.26780234978574396,0.148136750756562,0.144122141504091,0.2722343886275,0.24573717005686702,0.0552208016820289,-0.31276200190345504,-0.11325630349984599,-0.0943713471382353,0.237942288367786,-0.209865686668857,-0.38558682312517606,-0.100370172265215,0.0315429072436978,0.444132974911556,-0.0287606595035625,0.0623487371477692,0.632138944077712,-0.0948187263246,-0.0489373522050083,week23,week23
week24,0.264350289986837,0.164710433718125,0.18833431069934498,0.270516333095409,0.268263129739133,0.0446078147208311,-0.318240949332409,-0.11474656234719999,-0.0808520130174177,0.23957979221342898,-0.191271791021857,-0.386755900267118,-0.106433398191392,0.0514542687166722,0.452602246759056,-0.029615329351925,0.0478756409546938,0.640066912047051,-0.0102947836030133,-0.0509293531523333,week24,week24
week25,0.25678916280004604,0.182217458236625,0.20774435839256897,0.262201509041636,0.338807464486267,0.0682089175748833,-0.328377111270909,-0.109159020752238,-0.0773231563891118,0.272092169623857,-0.153029724373529,-0.388768270885235,-0.11352408282146198,0.0624387183205256,0.47769739643544396,-0.0570304550814766,0.0261434154269254,0.633095008903085,0.03498775791807,-0.0543892898345333,week25,week25
week26,0.26844225411837197,0.188565652039688,0.240024909008517,0.273018369689455,0.3634812703694671,0.0723115744319667,-0.320010302331727,-0.11244667802916901,-0.0732773290963882,0.29083194658442896,-0.13672103506123598,-0.37616483380617605,-0.130704033546492,0.0733661624218089,0.5163783335930561,-0.0712817140562328,0.0192531011265022,0.62612546188178,0.0903730006372533,-0.053160215676574994,week26,week26
week27,0.281691779751023,0.193044130933,0.236799143740379,0.27928003158063597,0.3792176785988,0.06746552567007,-0.34443811304768196,-0.10429361863191498,-0.0767283776202794,0.313236745732143,-0.11467650179819999,-0.37336049357217604,-0.143166410147692,0.0965042401316278,0.5578231774518331,-0.0759355001110356,-0.0054851795713346104,0.625723169906508,0.13920508498956,-0.0623643204926167,week27,week27
week28,0.29741472999807,0.198581165884619,0.23154196195206894,0.273837748763091,0.391349987124533,0.0849468529677833,-0.34962343766450005,-0.111831180428115,-0.0765114542182412,0.33182204565992895,-0.0910378673520714,-0.35952161445147096,-0.15653408044430803,0.125426321385239,0.557153452022889,-0.0815159998532013,-0.0118914829415569,0.6196253232416611,0.13526633664867302,-0.068602443572275,week28,week28
