,ALXN,AMD,BABA,BB,CAT,CGI,CMG,GME,IBM,NFLX,NVDA,P,QCOM,SDRL,SHLD,STRP,TSLA,VRX,WATT,WFC,Time
week1,0.0302465394093,0.0250510822077672,0.03410609797613,-0.0205325943568725,-0.007982322797452,0.0793868824190667,0.01378978157313,0.0169886371925667,-0.0023009503104418198,0.0242461868649273,0.010574229245809998,0.0014583318695649999,-0.0369760993318825,0.0478384265839125,0.01338288601665,-0.046830253173080004,0.0381374623562332,0.009200237516888999,0.0143111905383667,0.00539642347613556,week1
week2,0.0890146162292,0.0346765575558283,0.050865885837279995,-0.0204799791491567,0.0072864620836725,0.0391882138936667,0.0264849322692357,0.0252299729434111,0.0154156382440989,0.050571128616300004,0.0317259615355922,-0.00348513972755,-0.0464599262631562,0.0657170029723937,-0.1514682728575,0.038066253580550005,0.0841374341499237,-0.0125609873277257,-0.08951235384746001,0.0101416208252044,week2
week3,0.19127970428546698,0.0579051888646966,0.08002465271819,-0.0158591120849442,0.0097602201343,0.0184435168093333,0.0140613876137286,0.0382353705029111,0.0216153876301882,0.0695601509870827,0.0491900141973278,-0.007701123655973329,-0.0355747313098727,-0.0352774150585125,-0.262335977985,0.05124760320874,0.12790412951642,-0.0209525214177467,-0.00541741329686666,0.0112576948499878,week3
week4,0.12781652721436698,0.10839363500627901,0.09844047926654,-0.0199998051784433,-0.00010777895664225,0.00415854013336666,0.0385913230402693,0.0683409683608578,0.0415124601674182,0.0800911000588,0.0577306324982278,-0.0258588892194833,-0.0271977755290812,-0.121270831041437,-0.163992626838,0.03012810372945,0.14662713071023903,-0.027103805037617994,-0.0137516795502667,0.0148465455297556,week4
week5,0.10382834210830001,0.130793110677528,0.11131870771137,-0.00975115564851833,0.0171601156646738,0.0513784420081333,0.0556621404479929,0.0924463770022944,0.0496568942058727,0.09413656965510002,0.0482274200416167,-0.0219465829025333,-0.024152764738125,-0.202285585311325,-0.1981383055605,0.0468063366477333,0.18098984834481002,-0.0069385360773458705,-0.17351906613933302,0.0317033526516111,week5
week6,0.08044746556725,0.189758219509161,0.11697916795522999,-0.0165734949640667,0.00681597923327838,-0.0325662387555333,0.0529439071962507,0.0384510584941556,0.0480401302630836,0.0932781775543636,0.0155686460239183,-0.0167945512745017,-0.027282108721625,-0.251066864345025,-0.14769015376515,0.0216192690551,0.205821210738473,0.0117074579088143,-0.139854541652033,0.0397226662735556,week6
week7,0.0871586663142667,0.23324309697228196,0.11880935934994999,-0.0205781872983292,0.00232885878750125,-0.0271905640013333,0.0404730000099007,0.0486022454213675,0.0549506087540695,0.0949924429369909,0.00409789154748389,-0.048090540236774997,-0.0229163736160063,-0.285391593112275,-0.2582716815475,-0.0135916989615833,0.205673779651648,0.01449903636521,-0.136934199728767,0.0512351180281522,week7
week8,0.0869212812313667,0.254463311363621,0.1273794810063,-0.0283415930511217,0.0176333537950875,-0.0528992900576667,0.0296834326501006,0.0530680648129722,0.0521582966338473,0.10343660427078201,-0.00552936083496667,-0.0680694024613167,-0.0306675219414188,-0.420681522178,-0.1847106139997,-0.0167500428831367,0.20593863156188297,-0.0440634446273533,-0.10336719378563301,0.0549745832712667,week8
week9,0.10349712644816698,0.268277471900621,0.13503470629599001,-0.0358327286818433,0.004999780491278,0.00172497252340334,0.0503125998850293,0.0384920152541081,0.043896799984499996,0.104302787792673,-0.0068379554451094395,-0.061395424391589994,-0.0252145182952437,-0.5151746086155,-0.1835851758208,-0.0173401774443333,0.21789852228256895,-0.10230021887071,-0.146623736380667,0.0561538564537444,week9
week10,0.10039835438813999,0.27167096703279303,0.15340959850546,-0.0441822135782083,0.0198555482050012,-0.10549491177053301,0.0799289155070608,-0.0256384057478044,0.0399887957918727,0.115806230959282,-0.00020149843013555702,-0.0596395714602167,-0.0282913444494875,-0.5010400892225,-0.14477875696885,0.263695060530833,0.24634412421430302,-0.164203278068828,-0.160505384112333,0.053794454471500004,week10
week11,0.0640471717172,0.253437344359655,0.1684665000104,-0.0301791234174475,-0.00129519875456875,-0.17364847992694002,0.0947600468266643,-0.0513955373173778,0.0303331382065727,0.11116968345258199,0.00574727700838278,-0.0782162516663433,-0.0606728049004994,-0.505243326482375,0.00867974924349998,0.379085443351533,0.25688196731084695,-0.23622685493979997,-0.17173199986333298,0.0484321894788789,week11
week12,0.021045135647999997,0.25112280861472397,0.1786523229451,0.0297364706775225,0.0263717860173725,-0.200776430700033,0.105003515800271,-0.04496001567492,0.0162067009526727,0.114463725451218,-0.00701012454423278,-0.101260658611217,-0.0747738268883812,-0.6090490645015,-0.00431096781900001,0.9102086517013169,0.27714485304628805,-0.26113019939109305,-0.147080935199933,0.0373760379091789,week12
week13,0.0114726034002333,0.22590263076314498,0.19726582792629999,0.072433089198325,0.0194738009233488,-0.33977686263159995,0.12850849465904302,-0.0167531476597467,-4.39774161154531e-05,0.110679838304355,-0.0217500144572467,-0.136803650106783,-0.0735476731098131,-0.642007034094625,0.18532536533349997,1.06312541861958,0.31959237526328804,-0.312082502375933,-0.152736237333667,0.00993535784532,week13
week14,-0.00446928225383333,0.194798102228469,0.21880817067570002,0.13310974519823,0.0140641457064139,-0.4286627386213329,0.148614024956957,0.0008863531447177779,-0.0275196051145091,0.12556021362522699,-0.0240138813734044,-0.14772266214433302,-0.0621248352013244,-0.647048156908375,0.029825075302499997,2.0619812322217,0.358964425724898,-0.334883690611,-0.174900220658533,0.00959442094673,week14
week15,-0.0105313204594133,0.169062878276452,0.2363426347012,0.182299764292767,0.050275765901234996,-0.469485470694,0.160853787884879,0.0115171242580156,-0.0395817175417909,0.166158733286455,0.0236337193762222,-0.155138826288667,-0.0563068803346262,-0.6773639135637499,0.00808667801100001,2.1998677382675003,0.382171274771322,-0.36078328079366706,-0.20793117707000003,0.00182608344069667,week15
week16,-0.0233656889657667,0.113616206291159,0.266385566807,0.2349424773015,0.047102144037375004,-0.500034180857333,0.187225638678043,0.0267792552821222,-0.0556728746663455,0.18954993219227304,0.0442654025577811,-0.194720439088167,-0.032453661127450004,-0.70488177937175,0.096199911737865,2.88616600798383,0.420319173525,-0.34426094464203305,-0.21468529674400003,-0.0131279262423189,week16
week17,0.027782321195519998,0.0742788258263345,0.2883170817548,0.283698534427667,0.0543118167141838,-0.551655547086333,0.19818353468778602,0.0144262143633033,-0.0689414104169182,0.194105908373091,0.121562451320876,-0.226527026597667,-0.0207367696895562,-0.78525285480525,-0.021867032562549998,3.53804018763167,0.4602982131470171,-0.31015467329786,-0.218225820064333,-0.0232690649152989,week17
week18,0.0546059849712333,0.0831147992826948,0.3136399308837,0.333908986128167,0.09566460001595,-0.649047420174667,0.205077828659286,-0.00117921703457778,-0.0738404854682909,0.205189524081455,0.21301265109624398,-0.250947665709833,-0.0129378938296812,-0.795824076831125,0.0353467563675,3.53724911649167,0.490192792796068,-0.228606783037933,-0.227751095639667,-0.013460866771530001,week18
week19,0.0694375487413333,0.0348888979195745,0.35421010819470006,0.4108478680860829,0.0890913673595125,-0.641618438678333,0.210111812919643,-0.0158116058232889,-0.0807954006497109,0.236621075672182,0.28800735335912797,-0.253937261215333,-0.01713454338865,-0.801502043992625,-0.10181264923135001,4.14383839506167,0.49894638788647494,-0.18562946548112802,-0.22384204740466698,-0.007337379800088891,week19
week20,-0.0064862183733000005,0.05705433744084099,0.37203886737340003,0.4465443903325,0.104740694047575,-0.717991920452333,0.19246064787414302,-0.0429300675153889,-0.0848058313132545,0.23396580710209103,0.34688600926299995,-0.2930013099505,-0.0197073002628688,-0.822978620981625,-0.14700506254445,3.88549321400667,0.5444477881751529,-0.161672134096837,-0.147966477821667,-0.013614134720896003,week20
