,Ticker,StartDate,EndDate,Start_Price,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week1_Return,week2_Return,week3_Return,week4_Return,week5_Return,week6_Return,week7_Return,week8_Return,week9_Return,week10_Return,week11_Return,week12_Return,week13_Return,week14_Return,week15_Return,week16_Return,week17_Return,week18_Return,week19_Return,week20_Return,week21_Return,week22_Return,week23_Return,week24_Return,week25_Return,week26_Return,week27_Return,week28_Return,week29_Return,week30_Return,week31_Return,week32_Return,week33_Return,week34_Return,week35_Return,week36_Return,week37_Return,week38_Return,week39_Return,week40_Return,week41_Return,week42_Return,week43_Return,week44_Return,week45_Return,week46_Return,week47_Return,week48_Return,week49_Return
0,BAC,20170201,20180127,22.533955,22.317377,24.197666,24.197666,24.913267,25.031759,24.903391,22.780382,23.570339,22.967999,22.059546,22.4249,23.046993,23.441971,23.698708,22.760632,22.948248,22.201345,23.558592,23.68738,22.676878,24.450212,24.370956,23.677475,24.252073,24.222353,24.668163,24.242167,23.608126,23.360455,23.310665,24.226761,24.953663,25.302179,25.600904,25.720396,26.367638,27.512758,27.413183,26.676325,26.676325,26.546875,28.17,28.780001,28.73,29.82,29.52,30.120001,31.24,31.92,-0.0096111845435,0.0738312914888,0.0738312914888,0.105587856193,0.110846231831,0.105149584261,0.0109358077621,0.0459921039161,0.0192617762838,-0.021053073018,-0.00483958541676,0.0227673304575,0.0402954563458,0.0516887958638,0.0100593526525,0.0183852767967,-0.0147603915957,0.0454708017301,0.0511860878394,0.00634256170299,0.0850386450137,0.0815214639419,0.0507465289604,0.0762457367116,0.0749268381871,0.0947107598289,0.075806133455,0.0476689955225,0.0366779821829,0.0344684277571,0.0751224540921,0.107380528629,0.122846788325,0.136103449217,0.141406202329,0.170129167294,0.220946700213,0.216527813249,0.183827916582,0.183827916582,0.178083252585,0.250113439918,0.277183743377,0.274964825305,0.323336271862,0.31002302969,0.336649558411,0.386352284808,0.416528967063
1,XOM,20170131,20180126,80.813698,79.734772,80.512482,78.67514,80.706909,78.772362,79.715332,79.482025,79.734772,80.230568,80.658302,78.752907,78.995949,79.365356,81.066704,80.222771,80.222771,78.014801,80.595673,81.93026,80.085388,79.221825,78.662476,79.349403,78.377892,78.544716,78.662476,77.512642,75.679596,75.768776,76.472267,78.770988,79.48439,80.148247,81.010269,81.505684,82.199265,82.70459,82.585686,82.813576,82.239998,80.870003,82.269997,82.279999,83.120003,82.870003,84.019997,86.75,87.519997,88.25,-0.0133507812005,-0.0037272889059,-0.0264628157469,-0.00132142201932,-0.0252597771234,-0.013591334479,-0.0164783079225,-0.0133507812005,-0.00721573216461,-0.0019228918345,-0.025500516014,-0.0224930803191,-0.0179219864434,0.00313073162424,-0.00731221333294,-0.00731221333294,-0.0346339428744,-0.00269787183851,0.0138164943275,-0.00901220978651,-0.0196980591087,-0.0266195218538,-0.0181193910963,-0.0301410040659,-0.0280767005613,-0.0266195218538,-0.0408477285621,-0.0635300960983,-0.0624265703074,-0.0537214742976,-0.0252767791916,-0.0164490430818,-0.00823438373034,0.00243239704239,0.00856273153098,0.017145199815,0.0233981620294,0.0219268273059,0.024746770034,0.0176492356531,0.000696725943664,0.0180204474741,0.0181442136208,0.0285385405826,0.0254450056227,0.0396751921933,0.0734566310776,0.0829846816316,0.0920178408368
2,TSLA,20170131,20180126,251.92999300000002,257.480011,280.980011,273.51001,250.020004,246.869995,255.729996,255.009995,277.380005,295.0,296.839996,302.51001,308.630005,295.459991,323.100006,313.059998,316.829987,339.850006,357.320007,371.399994,383.450012,361.609985,316.049988,319.570007,342.519989,323.470001,355.170013,363.799988,337.859985,345.660004,349.589996,362.75,375.100006,345.25,348.140015,355.589996,355.75,337.339996,331.529999,306.049988,308.700012,317.809998,307.540009,313.26001,339.029999,328.980011,315.359985,316.579987,336.220001,351.559998,0.0220300010091,0.115309882932,0.0856587845815,-0.00758142759128,-0.0200849368499,0.0150835672829,0.0122256265057,0.101020175077,0.170960219889,0.178263820299,0.200770128232,0.225062571252,0.172786088237,0.282499166346,0.242646793548,0.25761122456,0.348985890695,0.418330555822,0.474219046241,0.522049865655,0.435359008643,0.25451513032,0.268487341243,0.359584005546,0.28396780847,0.409796462782,0.444051911675,0.341086787551,0.372047845054,0.387647385042,0.439884134796,0.488905713581,0.370420392938,0.381891893277,0.411463525107,0.412098638053,0.339022765741,0.315960815352,0.214821563544,0.225340454005,0.261501237766,0.220735988351,0.243440712516,0.345730990434,0.305839003457,0.251776262305,0.25661888539,0.334577106109,0.395467025635
3,FNMA,20170131,20180126,4.22,4.2,4.29,2.98,2.95,2.71,2.79,2.7,2.65,2.44,2.49,2.45,2.91,2.72,2.73,2.58,2.6,2.6,2.43,2.5,2.38,2.33,2.25,2.31,2.67,2.65,2.75,2.7,2.77,2.83,2.62,2.52,2.76,2.82,3.16,3.07,3.02,3.08,3.17,2.9,2.94,2.76,2.96,2.96,2.72,2.74,2.66,2.22,2.15,2.07,-0.00473933649289,0.0165876777251,-0.293838862559,-0.300947867299,-0.357819905213,-0.338862559242,-0.36018957346,-0.372037914692,-0.421800947867,-0.409952606635,-0.419431279621,-0.310426540284,-0.355450236967,-0.35308056872,-0.388625592417,-0.383886255924,-0.383886255924,-0.424170616114,-0.407582938389,-0.436018957346,-0.447867298578,-0.46682464455,-0.452606635071,-0.367298578199,-0.372037914692,-0.348341232227,-0.36018957346,-0.343601895735,-0.329383886256,-0.379146919431,-0.402843601896,-0.345971563981,-0.331753554502,-0.251184834123,-0.272511848341,-0.284360189573,-0.270142180095,-0.248815165877,-0.312796208531,-0.303317535545,-0.345971563981,-0.298578199052,-0.298578199052,-0.355450236967,-0.350710900474,-0.369668246445,-0.473933649289,-0.490521327014,-0.509478672986
4,AMZN,20170131,20180126,823.47998,812.5,836.390015,855.609985,853.080017,850.5,852.969971,848.059998,874.320007,909.280029,896.22998,902.059998,918.380005,937.530029,947.619995,958.48999,993.380005,1006.72998,978.309998,987.710022,1003.73999,968.0,996.469971,1010.039978,1038.949951,987.780029,992.27002,983.299988,953.289978,946.02002,965.27002,982.580017,969.859985,938.599976,957.099976,987.200012,1009.130005,975.900024,1105.280029,1123.170044,1136.839966,1139.48999,1161.27002,1152.349976,1164.130005,1177.619995,1186.099976,1229.140015,1305.199951,1327.310059,-0.013333633199,0.0156774120969,0.0390173480599,0.035945059648,0.0328119938022,0.0358114243409,0.0298489563766,0.0617380242808,0.104192027838,0.0883445885351,0.0954243210624,0.115242662001,0.138497658437,0.150750495477,0.163950567444,0.206319557398,0.22253121442,0.188019164716,0.19943416475,0.218900294334,0.175499129924,0.210071884201,0.226550738975,0.261657813466,0.199519178353,0.204971637562,0.194078802013,0.157635888124,0.148807552067,0.172183955219,0.193204499033,0.177757818715,0.139796957784,0.162262591982,0.198814829718,0.225445705432,0.185092592051,0.342206314475,0.363931208139,0.380531395554,0.383749475002,0.410198241856,0.399366109665,0.413671289252,0.430052974694,0.440350712594,0.492616754326,0.584980792126,0.611830392039
5,SBUX,20170131,20180126,53.921078,54.183674,55.498047,56.469112,56.047337,54.674107,53.497051,54.821236,56.439686,57.106682,56.47892,58.931114,60.127785,59.666771,59.361004,58.917789,61.95134,63.596146,61.252041,59.232964,58.90794,57.430565,56.938107,57.450268,57.144939,53.165871,54.790985,52.653961,52.584702,53.821407,54.543644,52.970554,54.039066,54.543644,53.415768,54.830555,53.930237,53.702679,54.256729,56.611416,56.324501,56.951099,57.199749,58.960201,59.169071,57.418564,57.498135,59.288422,60.074162,61.078712,0.00487000649356,0.0292458730146,0.0472548786951,0.0394327984318,0.0139653921607,-0.00786384500696,0.0166939911698,0.0467091551842,0.0590790117364,0.0474367741684,0.0929142403273,0.115107249896,0.10655745792,0.100886818324,0.092667119897,0.148926213975,0.179430166437,0.135957278154,0.0985122367175,0.0924844640532,0.0650856238445,0.0559526832902,0.0654510282602,0.0597885116466,-0.0140057845283,0.0161329675197,-0.0234994745469,-0.0247839258703,-0.00184846081898,0.0115458745094,-0.0176280600325,0.00218816100079,0.0115458745094,-0.00937128890487,0.0168668178333,0.000169859363717,-0.004050345581,0.00622485700304,0.0498939950718,0.0445729775655,0.056193628028,0.0608049972591,0.093453676872,0.0973273012086,0.0648630578194,0.0663387516103,0.099540739894,0.114112777938,0.132742783815
6,COP,20170131,20180126,47.68285,48.328266,49.294621,46.305878,48.223,45.135941,45.067123,43.897186,45.175266,48.28199,48.606422,47.141548,47.053062,45.145771,46.881428,45.892784,44.538345,43.757317,44.310955,46.001537,44.320847,43.460724,42.748901,42.699467,42.383308,45.12862,44.929684,44.30304,42.273891,42.820965,44.153835,44.690964,47.297024,49.405743,48.978035,48.928299,49.720001,50.990002,51.150002,53.48,51.23,50.009998,50.73,50.380001,51.68,54.25,55.18,56.880001,60.049999,60.669998,0.0135356003259,0.0338019015222,-0.0288777201866,0.0113279722164,-0.0534135228914,-0.0548567671605,-0.0793925698653,-0.0525888028924,0.0125651046445,0.0193690603645,-0.0113521318461,-0.0132078514602,-0.0532073691065,-0.0168073426819,-0.0375410865752,-0.0659462469211,-0.0823258886581,-0.0707150474437,-0.0352603294476,-0.070507593401,-0.0885460076317,-0.103474288974,-0.104511013918,-0.111141469103,-0.0535670581771,-0.0577391242344,-0.0708810400385,-0.113436151572,-0.101962969915,-0.0740101524972,-0.0627455363931,-0.00809150459756,0.0361323410828,0.027162491336,0.0261194328779,0.042722928684,0.0693572636703,0.0727127677981,0.121577254715,0.0743904779182,0.0488047169999,0.0639045275188,0.0565643832112,0.0838278332776,0.13772561833,0.157229486073,0.192881738403,0.259362621991,0.272365179514
7,AAPL,20170131,20180126,119.42945900000001,129.448349,133.459244,135.52507,138.174088,137.393234,138.836365,139.785248,142.454041,142.355209,140.160873,140.793457,142.127869,144.836182,152.798523,151.399048,152.719101,154.287292,147.865692,141.205887,145.185883,142.942795,143.975006,148.441345,150.952423,147.617554,157.622162,159.27742,156.646881,160.891617,161.499435,160.283798,158.161423,152.591446,153.926651,155.341553,159.895203,156.537277,168.434494,174.183823,171.339996,173.139999,169.479996,169.009995,172.270004,174.350006,171.080002,175.0,177.089996,177.0,0.0838896038204,0.117473403275,0.134770860848,0.156951468733,0.150413266127,0.1624968091,0.170441942637,0.192788129435,0.191960594915,0.173587104669,0.178883821286,0.190057044468,0.212734137898,0.279403961798,0.267685956779,0.278738949994,0.291869638294,0.238100659905,0.182337156865,0.215662234558,0.19688053682,0.205523387659,0.242920685088,0.263946301557,0.23602296482,0.319792983405,0.333652696191,0.311626815625,0.347168599332,0.352257946676,0.342079243614,0.324308293149,0.277670076359,0.288849939444,0.300697116948,0.338825481911,0.310709085603,0.410326190961,0.458466147787,0.434654376187,0.449726059632,0.419080329251,0.415144943426,0.44244146664,0.459857621895,0.432477409112,0.465300114941,0.482799951392,0.482046401969
8,XOM,20170131,20180126,80.813698,79.734772,80.512482,78.67514,80.706909,78.772362,79.715332,79.482025,79.734772,80.230568,80.658302,78.752907,78.995949,79.365356,81.066704,80.222771,80.222771,78.014801,80.595673,81.93026,80.085388,79.221825,78.662476,79.349403,78.377892,78.544716,78.662476,77.512642,75.679596,75.768776,76.472267,78.770988,79.48439,80.148247,81.010269,81.505684,82.199265,82.70459,82.585686,82.813576,82.239998,80.870003,82.269997,82.279999,83.120003,82.870003,84.019997,86.75,87.519997,88.25,-0.0133507812005,-0.0037272889059,-0.0264628157469,-0.00132142201932,-0.0252597771234,-0.013591334479,-0.0164783079225,-0.0133507812005,-0.00721573216461,-0.0019228918345,-0.025500516014,-0.0224930803191,-0.0179219864434,0.00313073162424,-0.00731221333294,-0.00731221333294,-0.0346339428744,-0.00269787183851,0.0138164943275,-0.00901220978651,-0.0196980591087,-0.0266195218538,-0.0181193910963,-0.0301410040659,-0.0280767005613,-0.0266195218538,-0.0408477285621,-0.0635300960983,-0.0624265703074,-0.0537214742976,-0.0252767791916,-0.0164490430818,-0.00823438373034,0.00243239704239,0.00856273153098,0.017145199815,0.0233981620294,0.0219268273059,0.024746770034,0.0176492356531,0.000696725943664,0.0180204474741,0.0181442136208,0.0285385405826,0.0254450056227,0.0396751921933,0.0734566310776,0.0829846816316,0.0920178408368
9,AAPL,20170131,20180126,119.42945900000001,129.448349,133.459244,135.52507,138.174088,137.393234,138.836365,139.785248,142.454041,142.355209,140.160873,140.793457,142.127869,144.836182,152.798523,151.399048,152.719101,154.287292,147.865692,141.205887,145.185883,142.942795,143.975006,148.441345,150.952423,147.617554,157.622162,159.27742,156.646881,160.891617,161.499435,160.283798,158.161423,152.591446,153.926651,155.341553,159.895203,156.537277,168.434494,174.183823,171.339996,173.139999,169.479996,169.009995,172.270004,174.350006,171.080002,175.0,177.089996,177.0,0.0838896038204,0.117473403275,0.134770860848,0.156951468733,0.150413266127,0.1624968091,0.170441942637,0.192788129435,0.191960594915,0.173587104669,0.178883821286,0.190057044468,0.212734137898,0.279403961798,0.267685956779,0.278738949994,0.291869638294,0.238100659905,0.182337156865,0.215662234558,0.19688053682,0.205523387659,0.242920685088,0.263946301557,0.23602296482,0.319792983405,0.333652696191,0.311626815625,0.347168599332,0.352257946676,0.342079243614,0.324308293149,0.277670076359,0.288849939444,0.300697116948,0.338825481911,0.310709085603,0.410326190961,0.458466147787,0.434654376187,0.449726059632,0.419080329251,0.415144943426,0.44244146664,0.459857621895,0.432477409112,0.465300114941,0.482799951392,0.482046401969
